Coefficient,SC,Na,Cl,Ba,SO4,Sr,Br,Fe,Methane,Treatment Group
OLS_slope,"2.930
(0.697, R²=0.042)","3.055
*(0.047, R²=0.210)","0.119
(0.949, R²=0.007)","0.003
(0.415, R²=0.087)","-0.588
(0.264, R²=-0.119)","-0.005
(0.500, R²=-0.072)","0.012
(0.201, R²=0.136)","0.002
(0.654, R²=0.048)","0.206
*(0.038, R²=0.221)",HS
Spearman,-0.099(0.355),0.026(0.807),-0.051(0.631),-0.041(0.699),-0.206(0.051),-0.109(0.306),0.086(0.422),0.139(0.192),0.310*(0.003),HS
Kendall's Tau,-0.071(0.324),0.022(0.756),-0.038(0.594),-0.029(0.693),-0.133(0.063),-0.069(0.339),0.058(0.419),0.104(0.211),0.214*(0.004),HS
ATS slope,-0.001,0.002,-0.002,-1.633,-0.028,-0.849,2.238,5.069,1.985,HS
OLS_slope,"11.504
(0.152, R²=0.152)","4.617
*(0.005, R²=0.296)","1.860
(0.353, R²=0.099)","0.007
(0.078, R²=0.186)","0.077
(0.892, R²=0.015)","-0.005
(0.493, R²=-0.073)","0.029
*(0.004, R²=0.299)","-0.002
(0.710, R²=-0.040)","0.097
(0.366, R²=0.097)",I
Spearman,-0.063(0.558),0.050(0.637),-0.085(0.427),-0.129(0.224),0.028(0.794),-0.225*(0.033),-0.051(0.631),-0.156(0.143),0.144(0.178),I
Kendall's Tau,-0.034(0.633),0.033(0.648),-0.050(0.488),-0.086(0.242),0.030(0.678),-0.151*(0.036),-0.037(0.611),-0.117(0.156),0.095(0.195),I
ATS slope,-0.001,0.004,-0.004,-5.060,0.006,-1.734,-4.854,-6.430,0.429,I
OLS_slope,"-15.816
(0.256, R²=-0.121)","-5.954
*(0.037, R²=-0.220)","-4.165
(0.229, R²=-0.128)","-0.014
*(0.050, R²=-0.207)","1.072
(0.273, R²=0.117)","-0.011
(0.400, R²=-0.090)","-0.026
(0.142, R²=-0.156)","-0.005
(0.446, R²=-0.081)","-0.286
(0.122, R²=-0.165)",S
Spearman,0.000(0.999),-0.307*(0.003),-0.119(0.263),-0.084(0.432),0.208*(0.049),-0.048(0.656),-0.101(0.346),0.034(0.750),-0.259*(0.014),S
Kendall's Tau,-0.002(0.975),-0.209*(0.004),-0.084(0.240),-0.054(0.461),0.145*(0.043),-0.037(0.606),-0.069(0.340),0.024(0.774),-0.172*(0.020),S
ATS slope,-0.000,-0.018,-0.006,-2.696,0.035,-0.448,-2.488,1.028,-1.031,S
