,Analyte,Unit,n,Min,Max,Mean,Median,5th Percentile,25th Percentile,75th Percentile,95th Percentile,MCL/SMCL limit,% Exceeding MCL/SMCL
0,DO,mg/L,24,0.297,9.81,2.328,0.862,0.341,0.41,2.21,8.446,-,-
1,SC,µS/cm,24,406.9,1539.0,717.162,663.5,534.55,613.25,723.25,976.55,-,-
2,pH,pH unit,24,6.27,7.98,7.132,7.035,6.693,6.948,7.252,7.921,6.5-8.5,4.2% (1)
4,Alkalinity,mg CaCO3/L,21,178.0,404.0,285.381,288.0,182.0,268.0,307.0,404.0,-,-
5,Air [CH4],"ppm, max",22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-,-
6,F,mg/L,24,0.042,1.4,0.256,0.116,0.058,0.096,0.155,1.091,2,0.0% (0)
7,Cl,mg/L,24,2.03,307.0,41.998,17.4,4.225,8.855,43.55,126.05,250,4.2% (1)
8,SO4,mg/L,24,6.61,195.0,38.721,31.3,15.06,21.4,41.875,71.445,250,0.0% (0)
9,Br,mg/L,24,0.02,0.187,0.052,0.034,0.02,0.026,0.062,0.129,2,0.0% (0)
10,NO3-NO3,mg/L,24,0.092,26.8,3.542,0.404,0.101,0.202,3.555,15.025,44,0.0% (0)
11,Al,mg/L,24,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05-0.2,0.0% (0)
12,Ba,mg/L,24,0.06,0.43,0.153,0.135,0.06,0.108,0.182,0.24,2,0.0% (0)
13,Ca,mg/L,24,13.3,214.0,89.238,91.3,27.385,72.375,106.25,127.0,-,-
14,Fe,mg/L,24,0.005,0.45,0.05,0.005,0.005,0.005,0.018,0.232,0.3,4.2% (1)
15,K,mg/L,24,0.06,3.76,1.885,1.77,0.3,1.465,2.335,3.236,-,-
16,Mg,mg/L,24,2.86,35.7,14.971,14.15,4.085,10.04,18.8,30.62,-,-
17,Mn,mg/L,24,0.005,0.43,0.059,0.01,0.005,0.005,0.062,0.258,0.05,29.2% (7)
18,Na,mg/L,24,2.61,192.0,38.797,11.47,4.359,6.528,57.925,136.2,-,-
19,P,mg/L,24,0.01,0.04,0.017,0.015,0.01,0.01,0.02,0.038,-,-
20,Si,mg/L,24,2.92,9.62,5.996,5.48,4.406,5.118,7.138,8.264,-,-
21,Sr,mg/L,24,0.14,2.14,0.701,0.505,0.212,0.39,0.948,1.823,4,0.0% (0)
22,Li,µg/L,24,3.27,20.6,10.972,11.65,3.696,7.9,13.375,17.84,10,62.5% (15)
23,Be,µg/L,24,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,4,0.0% (0)
24,Ni,µg/L,24,0.08,1.11,0.293,0.21,0.086,0.14,0.29,0.94,100,0.0% (0)
25,Cu,µg/L,24,0.09,5.41,1.829,1.205,0.102,0.328,2.755,4.994,1000,0.0% (0)
26,As,µg/L,24,0.05,0.53,0.138,0.115,0.05,0.05,0.18,0.262,10,0.0% (0)
27,Cd,µg/L,24,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,5,0.0% (0)
28,Tl,µg/L,24,0.05,0.21,0.078,0.05,0.05,0.05,0.053,0.195,2,0.0% (0)
29,Pb,µg/L,24,0.05,1.59,0.397,0.31,0.053,0.195,0.44,1.194,15,0.0% (0)
30,U,µg/L,24,0.05,0.94,0.258,0.19,0.05,0.057,0.36,0.625,30,0.0% (0)
31,87Sr/86Sr,-,24,0.7111,0.7129,0.7118,0.7117,0.7112,0.7115,0.7119,0.7129,-,-
32,Benzene,µg/L,23,0.04,0.77,0.245,0.04,0.04,0.04,0.48,0.739,5,0.0% (0)
33,Toluene,µg/L,23,0.04,3.29,1.025,0.1,0.04,0.04,2.92,3.197,1000,0.0% (0)
34,Ethylbenzene,µg/L,23,0.04,9.49,3.27,0.11,0.04,0.04,9.135,9.379,700,0.0% (0)
35,"m,p-Xylene",µg/L,23,0.08,0.41,0.1,0.08,0.08,0.08,0.08,0.138,10000,0.0% (0)
36,o-Xylene,µg/L,23,0.06,0.28,0.078,0.06,0.06,0.06,0.06,0.145,10000,0.0% (0)
37,Xylene(total),μg/L,23,0.14,0.56,0.178,0.14,0.14,0.14,0.14,0.348,10000,0.0% (0)
38,Methane,mg/L,24,0.0,4.7,0.245,0.001,0.0,0.0,0.009,0.853,10,0.0% (0)
39,Ethane,mg/L,24,0.0,0.019,0.001,0.0,0.0,0.0,0.0,0.0,-,-
40,Propane,mg/L,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-
41,δ13C1(‰),-,2,-77.16,-74.26,-75.71,-75.71,-77.015,-76.435,-74.985,-74.405,-,-
42,δDC1(‰),-,2,-204.0,-202.3,-203.15,-203.15,-203.915,-203.575,-202.725,-202.385,-,-
43,δ13C2(‰),-,0,-,-,-,-,-,-,-,-,-,-
